date,type,average,value
2016-10-15,News media,Mean,66.1830550401979
2016-10-15,News media,Median,6
2016-10-16,News media,Mean,57.30674087816945
2016-10-16,News media,Median,6
2016-10-17,News media,Mean,87.2065553494125
2016-10-17,News media,Median,8
2016-10-18,News media,Mean,102.63636363636364
2016-10-18,News media,Median,9
2016-10-19,News media,Mean,102.12677798392085
2016-10-19,News media,Median,8
2016-10-20,News media,Mean,188.87012987012986
2016-10-20,News media,Median,23
2016-10-21,News media,Mean,88.24180581323438
2016-10-21,News media,Median,9
2016-10-22,News media,Mean,75.85590599876315
2016-10-22,News media,Median,7
2016-10-23,News media,Mean,61.37909709338281
2016-10-23,News media,Median,6
2016-10-24,News media,Mean,90.17934446505875
2016-10-24,News media,Median,8
2016-10-25,News media,Mean,104.24922696351268
2016-10-25,News media,Median,10
2016-10-26,News media,Mean,118.33642547928262
2016-10-26,News media,Median,11
2016-10-27,News media,Mean,119.96413110698825
2016-10-27,News media,Median,13
2016-10-28,News media,Mean,143.75448361162645
2016-10-28,News media,Median,16
2016-10-29,News media,Mean,86.78107606679035
2016-10-29,News media,Median,6
2016-10-30,News media,Mean,77.85776128633272
2016-10-30,News media,Median,6
2016-10-31,News media,Mean,123.62461348175634
2016-10-31,News media,Median,11
2016-11-01,News media,Mean,138.0439084724799
2016-11-01,News media,Median,10
2016-11-02,News media,Mean,155.30612244897958
2016-11-02,News media,Median,16
2016-11-03,News media,Mean,153.78726035868894
2016-11-03,News media,Median,14
2016-11-04,News media,Mean,163.2430426716141
2016-11-04,News media,Median,15
2016-11-05,News media,Mean,124.53927025355597
2016-11-05,News media,Median,10
2016-11-06,News media,Mean,120.01546072974645
2016-11-06,News media,Median,10
2016-11-07,News media,Mean,162.70068027210885
2016-11-07,News media,Median,14
2016-11-08,News media,Mean,218.0204081632653
2016-11-08,News media,Median,23
